fov,sep,width,vel,dps,foot
3.9,465,422.6299605,125,60,31.47340789
3.9,470,399.8950906,135,60,31.70752052
3.9,475,375.5210826,140,60,31.98083783
3.9,480,349.1648371,140,60,32.28963997
3.9,485,320.3374525,140,60,32.60702604
3.9,490,288.2986013,140,60,32.93429603
3.9,495,251.8255021,140,60,33.27405314
3.9,500,208.6050898,140,60,33.63123454
3.9,505,153.0231469,140,60,34.01721017
4,430,468.8575598,100,60,30.62325016
4,435,450.030456,110,60,30.82385499
4,440,430.1481272,115,60,31.06448834
4,445,409.0567337,120,60,31.31294211
4,450,386.5584191,130,60,31.54190759
4,455,362.3912407,140,60,31.7834338
4,460,336.1954958,140,60,32.08875783
4,465,307.4531043,140,60,32.40285209
4,470,275.3677747,140,60,32.72740865
4,475,238.5946591,140,60,33.06542733
4,480,194.4927026,140,60,33.42254647
4,485,136.115434,140,60,33.81331836
4.1,410,455.8109674,100,60,30.44251133
4.1,415,437.3369845,105,60,30.66950962
4.1,420,417.8081354,110,60,30.90374182
4.1,425,397.0688077,120,60,31.11662991
4.1,430,374.9181751,130,60,31.34083816
4.1,435,351.0892166,140,60,31.57776748
4.1,440,325.2132193,140,60,31.87848247
4.1,445,296.755182,140,60,32.18832831
4.1,450,264.8841974,140,60,32.50908442
4.1,455,228.1745779,140,60,32.84402357
4.1,460,183.7488449,140,60,33.1992394
4.1,465,123.5460967,140,60,33.59241903
4.2,395,425.8993177,105,60,30.48232407
4.2,400,406.8049026,110,60,30.71045849
4.2,405,386.5103217,115,60,30.94654179
4.2,410,364.8153352,125,60,31.16362284
4.2,415,341.4531136,135,60,31.39343667
4.2,420,316.0541548,140,60,31.662425
4.2,425,288.0802471,140,60,31.96685936
4.2,430,256.6909207,140,60,32.28261445
4.2,435,220.4319142,140,60,32.6129245
4.2,440,176.3242149,140,60,32.9643917
4.2,445,115.7161561,140,60,33.3563543
4.3,375,414.8993669,100,60,30.32958786
4.3,380,396.2846006,105,60,30.54984422
4.3,385,376.4857032,115,60,30.74910659
4.3,390,355.3047772,120,60,30.98726226
4.3,395,332.4777958,130,60,31.209203
4.3,400,307.6385618,140,60,31.44571915
4.3,405,280.2525373,140,60,31.74397022
4.3,410,249.4824336,140,60,32.05373662
4.3,415,213.8725899,140,60,32.37838936
4.3,420,170.4156234,140,60,32.72480531
4.3,425,110.1884054,140,60,33.11315036
4.4,360,385.5251257,105,60,30.36592548
4.4,365,366.2371125,110,60,30.58678733
4.4,370,345.585912,115,60,30.81644407
4.4,375,323.3104121,125,60,31.02997636
4.4,380,299.04786,140,60,31.233747
4.4,385,272.2675569,140,60,31.52513526
4.4,390,242.1355458,140,60,31.82821682
4.4,395,207.1946489,140,60,32.14648314
4.4,400,164.4068811,140,60,32.48705306
4.4,405,104.5448351,140,60,32.87139993
4.5,360,291.9154565,135,60,31.05053428
4.5,365,265.9222326,140,60,31.30967072
4.5,370,236.6741088,140,60,31.60490502
4.5,375,202.7674376,140,60,31.9152127
4.5,380,161.290526,140,60,32.24780394
4.5,385,103.5115152,140,60,32.62332078
4.6,330,328.2314,100,60,30.473195
4.6,335,307.3041,100,60,30.72
4.6,340,284.4923,110,60,30.92658
4.6,345,259.2988,120,60,31.19331
4.6,350,230.9455,130,60,31.4312
4.6,355,198.08046,140,60,31.69348
4.6,360,157.91095,140,60,32.01736
4.6,365,102.156105,140,60,32.383431
4.7,310,318.45871,100,60,30.364685
4.7,315,298.18778,100,60,30.59924
4.7,320,276.07236,110,60,30.79385
4.7,325,251.62661,120,60,31.00411
4.7,330,224.08916,130,60,31.2333
4.7,335,192.13524,140,60,31.486956
4.7,340,153.02271,140,60,31.80208
4.7,345,98.56953,140,60,32.15982
4.8,290,307.83097,100,60,30.22221
4.8,295,288.20116,100,60,30.44694
4.8,300,266.75815,110,60,30.63248
4.8,305,243.02245,110,60,30.8766
4.8,310,216.2404,120,60,31.09253
4.8,315,185.09433,140,60,31.29881
4.8,320,146.83293,140,60,31.60507
4.8,325,93.058645,140,60,31.95533
4.9,275,276.218905,100,60,30.319313
4.9,280,255.3368,100,60,30.54132
4.9,285,232.15702,100,60,30.77179
4.9,290,205.905,120,60,30.93743
4.9,295,175.2052,140,60,31.13679
4.9,300,137.10172,140,60,31.43544
4.9,305,81.83449,140,60,31.78345
5,260,242.6499,100,60,30.43006
5,265,219.9522,100,60,30.6098
5,270,194.1107,120,60,30.8086
5,275,163.6428,130,60,31.03265
5,280,125.2157,140,60,31.31734
5.1,240,227.0179,100,60,30.3514
5.1,245,204.5413,100,60,30.5613
5.1,250,178.7097,110,60,30.78228
5.1,255,147.774,130,60,30.96119
5.1,260,107.4111,140,60,31.2142
5.2,225,184.8418,100,60,30.4749
5.2,230,158.3241,110,60,30.6921
5.2,235,125.56483,140,60,30.85375
5.2,240,79.1614,140,60,31.1517
5.3,205,158.8812,100,60,30.50559
5.3,210,130.1662,120,60,30.66018
5.3,215,91.88717,140,60,30.869535
5.4,175,171.10663,100,60,30.19876
5.4,180,148.92105,100,60,30.37184
5.4,185,121.97328,120,60,30.50974
5.4,190,85.89226,140,60,30.701223
5.5,155,126.71712,100,60,30.33082
5.5,160,98.77869,120,60,30.46411
5.5,165,57.07214,140,60,30.67969
5.6,125,107.8095,100,60,30.259499
5.6,130,80.76445,120,60,30.37771
5.6,135,34.96994,140,60,30.59822
