fov,sep,width,vel,dps,foot
2.4,1360.0,240.968,140.0,26.0,58.115
2.4,1362.0,190.499,140.0,26.0,58.3156
2.4,1364.0,120.34,140.0,26.0,58.5512
2.6,1149.0,1006.982,100.0,28.0,50.4244
2.6,1151.0,997.803,100.0,28.0,50.5365
2.6,1153.0,988.524,100.0,28.0,50.6489
2.6,1155.0,979.14,100.0,28.0,50.7617
2.6,1157.0,969.649,105.0,28.0,50.8156
2.6,1159.0,960.048,105.0,28.0,50.9296
2.6,1161.0,950.332,105.0,28.0,51.0439
2.6,1163.0,940.5,110.0,28.0,51.1009
2.6,1165.0,930.546,110.0,28.0,51.2165
2.6,1167.0,920.467,110.0,28.0,51.3325
2.6,1169.0,910.259,110.0,28.0,51.4488
2.6,1171.0,899.918,115.0,28.0,51.5102
2.6,1173.0,889.438,115.0,28.0,51.6279
2.6,1175.0,878.815,115.0,28.0,51.746
2.6,1177.0,868.044,120.0,28.0,51.811
2.6,1179.0,857.118,120.0,28.0,51.9306
2.6,1181.0,846.033,125.0,28.0,51.9983
2.6,1183.0,834.781,125.0,28.0,52.1194
2.6,1185.0,823.356,125.0,28.0,52.2411
2.6,1187.0,811.751,130.0,28.0,52.3128
2.6,1189.0,799.957,130.0,28.0,52.4362
2.6,1191.0,787.967,135.0,28.0,52.511
2.6,1193.0,775.77,135.0,28.0,52.6362
2.6,1195.0,763.358,140.0,28.0,52.7142
2.6,1197.0,750.72,140.0,28.0,52.8413
2.6,1199.0,737.843,140.0,28.0,52.9691
2.6,1201.0,724.715,140.0,28.0,53.0975
2.6,1203.0,711.323,140.0,28.0,53.2266
2.6,1205.0,697.65,140.0,28.0,53.3564
2.6,1207.0,683.681,140.0,28.0,53.487
2.6,1209.0,669.397,140.0,28.0,53.6183
2.6,1211.0,654.776,140.0,28.0,53.7505
2.6,1213.0,639.797,140.0,28.0,53.8835
2.6,1215.0,624.432,140.0,28.0,54.0175
2.6,1217.0,608.654,140.0,28.0,54.1524
2.6,1219.0,592.429,140.0,28.0,54.2883
2.6,1221.0,575.719,140.0,28.0,54.4253
2.6,1223.0,558.48,140.0,28.0,54.5634
2.6,1225.0,540.662,140.0,28.0,54.7029
2.6,1227.0,522.207,140.0,28.0,54.8437
2.6,1229.0,503.043,140.0,28.0,54.9859
2.6,1231.0,483.086,140.0,28.0,55.1299
2.6,1233.0,462.234,140.0,28.0,55.2756
2.6,1235.0,440.359,140.0,28.0,55.4234
2.6,1237.0,417.301,140.0,28.0,55.5735
2.6,1239.0,392.851,140.0,28.0,55.7264
2.6,1241.0,366.731,140.0,28.0,55.8825
2.6,1243.0,338.555,140.0,28.0,56.0424
2.6,1245.0,307.759,140.0,28.0,56.2073
2.6,1247.0,273.459,140.0,28.0,56.3786
2.6,1249.0,234.119,140.0,28.0,56.5592
2.6,1251.0,186.579,140.0,28.0,56.7546
2.6,1253.0,121.572,140.0,28.0,56.9813
2.8,1047.0,970.698,100.0,30.0,49.0738
2.8,1049.0,962.022,100.0,30.0,49.1833
2.8,1051.0,953.25,100.0,30.0,49.2931
