fov,sep,width,vel,dps,foot,,,,,,,,
1.6,4115,3728.508171,140,20,380.41934,,,,,,,,
1.6,4120,3706.355782,140,20,381.3927856,,,,,,,,
1.6,4125,3684.043049,140,20,382.3678427,,,,,,,,
1.6,4130,3661.567039,140,20,383.344519,,,,,,,,
1.6,4135,3638.924729,140,20,384.3228225,,,,,,,,
1.6,4140,3616.112994,140,20,385.3027617,,,,,,,,
1.6,4145,3593.128607,140,20,386.2843452,,,,,,,,
1.6,4150,3569.968233,140,20,387.2675817,,,,,,,,
1.6,4155,3546.628425,140,20,388.2524804,,,,,,,,
1.6,4160,3523.105616,140,20,389.2390509,,,,,,,,
1.6,4165,3499.396117,140,20,390.2273029,,,,,,,,
1.6,4170,3475.496106,140,20,391.2172466,,,,,,,,
1.6,4175,3451.401626,140,20,392.2088923,,,,,,,,
1.6,4180,3427.108575,140,20,393.2022511,,,,,,,,
1.6,4185,3402.6127,140,20,394.1973342,,,,,,,,
1.6,4190,3377.909588,140,20,395.1941531,,,,,,,,
1.6,4195,3352.994659,140,20,396.19272,,,,,,,,
1.6,4200,3327.863156,140,20,397.1930476,,,,,,,,
1.6,4205,3302.510134,140,20,398.1951487,,,,,,,,
1.6,4210,3276.930451,140,20,399.199037,,,,,,,,
1.6,4215,3251.118759,140,20,400.2047265,,,,,,,,
1.6,4220,3225.069485,140,20,401.2122319,,,,,,,,
1.6,4225,3198.776826,140,20,402.2215685,,,,,,,,
1.6,4230,3172.23473,140,20,403.2327522,,,,,,,,
1.6,4235,3145.436883,140,20,404.2457995,,,,,,,,
1.6,4240,3118.37669,140,20,405.2607278,,,,,,,,
1.6,4245,3091.047263,140,20,406.277555,,,,,,,,
1.6,4250,3063.441395,140,20,407.2963002,,,,,,,,
1.6,4255,3035.551545,140,20,408.3169829,,,,,,,,
1.6,4260,3007.369812,140,20,409.3396239,,,,,,,,
1.6,4265,2978.887911,140,20,410.3642449,,,,,,,,
1.6,4270,2950.097148,140,20,411.3908684,,,,,,,,
1.6,4275,2920.988392,140,20,412.4195184,,,,,,,,
1.6,4280,2891.552037,140,20,413.45022,,,,,,,,
1.6,4285,2861.777976,140,20,414.4829993,,,,,,,,
1.6,4290,2831.655555,140,20,415.5178842,,,,,,,,
1.6,4295,2801.173537,140,20,416.5549039,,,,,,,,
1.6,4300,2770.320051,140,20,417.5940893,,,,,,,,
1.6,4305,2739.082544,140,20,418.6354729,,,,,,,,
1.6,4310,2707.447725,140,20,419.6790893,,,,,,,,
1.6,4315,2675.401499,140,20,420.724975,,,,,,,,
1.6,4320,2642.928902,140,20,421.7731687,,,,,,,,
1.6,4325,2610.01402,140,20,422.8237118,,,,,,,,
1.6,4330,2576.639902,140,20,423.8766481,,,,,,,,
1.6,4335,2542.788466,140,20,424.9320242,,,,,,,,
1.6,4340,2508.440389,140,20,425.9898903,,,,,,,,
1.6,4345,2473.57498,140,20,427.0502995,,,,,,,,
1.6,4350,2438.170048,140,20,428.1133093,,,,,,,,
1.6,4355,2402.201737,140,20,429.1789811,,,,,,,,
1.6,4360,2365.644348,140,20,430.2473812,,,,,,,,
1.6,4365,2328.470138,140,20,431.3185808,,,,,,,,
1.6,4370,2290.649075,140,20,432.3926574,,,,,,,,
1.6,4375,2252.14857,140,20,433.4696945,,,,,,,,
1.6,4380,2212.933163,140,20,434.5497834,,,,,,,,
1.6,4385,2172.964147,140,20,435.6330234,,,,,,,,
1.6,4390,2132.199143,140,20,436.7195231,,,,,,,,
1.6,4395,2090.591587,140,20,437.8094018,,,,,,,,
1.6,4400,2048.090131,140,20,438.9027911,,,,,,,,
1.6,4405,2004.637918,140,20,439.9998364,,,,,,,,
1.6,4410,1960.171723,140,20,441.1006994,,,,,,,,
1.6,4415,1914.620898,140,20,442.2055606,,,,,,,,
1.6,4420,1867.906096,140,20,443.3146226,,,,,,,,
1.6,4425,1819.937687,140,20,444.428114,,,,,,,,
1.6,4430,1770.613787,140,20,445.5462946,,,,,,,,
1.6,4435,1719.817776,140,20,446.6694614,,,,,,,,
1.6,4440,1667.41512,140,20,447.7979569,,,,,,,,
1.6,4445,1613.249263,140,20,448.9321793,,,,,,,,
1.6,4450,1557.136212,140,20,450.0725963,,,,,,,,
1.6,4455,1498.857293,140,20,451.2197633,,,,,,,,
1.6,4460,1438.149222,140,20,452.3743485,,,,,,,,
1.6,4465,1374.690214,140,20,453.5371679,,,,,,,,
1.6,4470,1308.079961,140,20,454.709236,,,,,,,,
1.6,4475,1237.809833,140,20,455.8918407,,,,,,,,
1.6,4480,1163.21674,140,20,457.08666,,,,,,,,
1.6,4485,1083.408133,140,20,458.2959507,,,,,,,,
1.6,4490,997.1324803,140,20,459.5228748,,,,,,,,
1.6,4495,902.5370814,140,20,460.7721099,,,,,,,,
1.6,4500,796.6637831,140,20,462.0511187,,,,,,,,
