fov,sep,width,vel,dps,foot,,,,,,,,
3.7,1867,1475.321,140,60,140.5282,,,,,,,,
3.7,1869,1465.157,140,60,140.7756,,,,,,,,
3.7,1871,1454.911,140,60,141.0233,,,,,,,,
3.7,1873,1444.581,140,60,141.2714,,,,,,,,
3.7,1875,1434.165,140,60,141.5199,,,,,,,,
3.7,1877,1423.662,140,60,141.7688,,,,,,,,
3.7,1879,1413.069,140,60,142.018,,,,,,,,
3.7,1881,1402.386,140,60,142.2676,,,,,,,,
3.7,1883,1391.608,140,60,142.5176,,,,,,,,
3.7,1885,1380.735,140,60,142.768,,,,,,,,
3.7,1887,1369.764,140,60,143.0187,,,,,,,,
3.7,1889,1358.692,140,58,143.2165,,,,,,,,
3.7,1891,1347.518,140,58,143.4685,,,,,,,,
3.7,1893,1336.238,140,60,143.7733,,,,,,,,
3.7,1895,1324.851,140,60,144.0256,,,,,,,,
3.7,1897,1313.352,140,60,144.2783,,,,,,,,
3.7,1899,1301.739,140,60,144.5315,,,,,,,,
3.7,1901,1290.01,140,60,144.785,,,,,,,,
3.7,1903,1278.16,140,60,145.0389,,,,,,,,
3.7,1905,1266.187,140,60,145.2933,,,,,,,,
3.7,1907,1254.087,140,60,145.5481,,,,,,,,
3.7,1909,1241.856,140,60,145.8033,,,,,,,,
3.7,1911,1229.49,140,58,146.0103,,,,,,,,
3.7,1913,1216.985,140,58,146.2668,,,,,,,,
3.7,1915,1204.338,140,60,146.5715,,,,,,,,
3.7,1917,1191.542,140,60,146.8284,,,,,,,,
3.7,1919,1178.595,140,60,147.0858,,,,,,,,
3.7,1921,1165.489,140,60,147.3437,,,,,,,,
3.7,1923,1152.221,140,60,147.602,,,,,,,,
3.7,1925,1138.784,140,60,147.8608,,,,,,,,
3.7,1927,1125.173,140,60,148.12,,,,,,,,
3.7,1929,1111.38,140,60,148.3798,,,,,,,,
3.7,1931,1097.399,140,58,148.5964,,,,,,,,
3.7,1933,1083.224,140,60,148.9008,,,,,,,,
3.7,1935,1068.845,140,60,149.1621,,,,,,,,
3.7,1937,1054.255,140,60,149.4238,,,,,,,,
3.7,1939,1039.445,140,60,149.6862,,,,,,,,
3.7,1941,1024.405,140,60,149.949,,,,,,,,
3.7,1943,1009.125,140,60,150.2124,,,,,,,,
3.7,1945,993.594,140,60,150.4764,,,,,,,,
3.7,1947,977.8,140,60,150.741,,,,,,,,
3.7,1949,961.73,140,58,150.9677,,,,,,,,
3.7,1951,945.37,140,60,151.272,,,,,,,,
3.7,1953,928.705,140,60,151.5384,,,,,,,,
3.7,1955,911.718,140,60,151.8055,,,,,,,,
3.7,1957,894.39,140,60,152.0732,,,,,,,,
3.7,1959,876.701,140,60,152.3417,,,,,,,,
3.7,1961,858.63,140,60,152.6109,,,,,,,,
3.7,1963,840.151,140,60,152.8808,,,,,,,,
3.7,1965,821.236,140,58,153.1185,,,,,,,,
3.7,1967,801.856,140,60,153.4231,,,,,,,,
3.7,1969,781.975,140,60,153.6956,,,,,,,,
3.7,1971,761.554,140,60,153.9689,,,,,,,,
3.7,1973,740.549,140,60,154.2432,,,,,,,,
3.7,1975,718.908,140,60,154.5186,,,,,,,,
3.7,1977,696.572,140,60,154.795,,,,,,,,
3.7,1979,673.473,140,60,155.0727,,,,,,,,
3.7,1981,649.527,140,60,155.3516,,,,,,,,
3.7,1983,624.638,140,60,155.6319,,,,,,,,
3.7,1985,598.69,140,60,155.9137,,,,,,,,
3.7,1987,571.536,140,60,156.1973,,,,,,,,
3.7,1989,542.997,140,58,156.4608,,,,,,,,
3.7,1991,512.84,140,60,156.7704,,,,,,,,
3.7,1993,480.763,140,60,157.0606,,,,,,,,
3.7,1995,446.351,140,60,157.3539,,,,,,,,
3.7,1997,409.015,140,58,157.6343,,,,,,,,
3.7,1999,367.866,140,60,157.9528,,,,,,,,
3.7,2001,321.442,140,60,158.2611,,,,,,,,
3.7,2003,267.008,140,56,158.5567,,,,,,,,
3.7,2005,198.064,140,60,158.9147,,,,,,,,
4.2,1042,2939.931,100,44,72.4298,,,,,,,,
4.2,1044,2937.092,100,44,72.5786,,,,,,,,
