sample_index,log_frame_index,timestamp,time_s,fov_deg,uav_lat,uav_lon,uav_alt,actual_area_m2,predicted_area_m2,area_error_m2,area_error_pct,centroid_error_m,corner_error_c1_m,corner_error_c2_m,corner_error_c3_m,corner_error_c4_m,mean_corner_error_m,max_corner_error_m,actual_center_lat,actual_center_lon,predicted_center_lat,predicted_center_lon,actual_c1_lat,actual_c1_lon,predicted_c1_lat,predicted_c1_lon,actual_c2_lat,actual_c2_lon,predicted_c2_lat,predicted_c2_lon,actual_c3_lat,actual_c3_lon,predicted_c3_lat,predicted_c3_lon,actual_c4_lat,actual_c4_lon,predicted_c4_lat,predicted_c4_lon
33,33,825297859773,6.595,2.000000,38.061092000,127.269330000,797.000000,3015.611472,12457.482880,9441.871408,313.099731,31.937455,39.156441,44.871234,102.624775,107.472152,73.531150,107.472152,38.077213000,127.267840000,38.077213000,127.267840000,38.077530000,127.267560000,38.077867474,127.267433995,38.077553000,127.268040000,38.077951359,127.268118185,38.076890000,127.268105000,38.075976429,127.268262016,38.076900000,127.267630000,38.075934697,127.267650562
34,34,825297859978,6.800,2.000000,38.061165000,127.269356000,797.000000,2870.997716,12073.796358,9202.798642,320.543572,41.983749,30.488403,31.633044,132.752941,95.055817,72.482551,132.752941,38.077198000,127.267430000,38.077198000,127.267430000,38.077503000,127.267150000,38.077756826,127.267019311,38.077520000,127.267630000,38.077798578,127.267701229,38.076890000,127.267700000,38.075709079,127.267910964,38.076890000,127.267235000,38.076036320,127.267259698
35,35,825297860179,7.001,2.000000,38.061234000,127.269390000,797.000000,2977.101415,12174.364000,9197.262584,308.933466,39.372021,31.239772,35.454223,110.668001,111.426326,72.197080,111.426326,38.077290000,127.267800000,38.077290000,127.267800000,38.077606000,127.267525000,38.077868665,127.267399490,38.077637000,127.268005000,38.077950170,127.268078645,38.076977000,127.268060000,38.075992345,127.268234111,38.076984000,127.267590000,38.075983381,127.267623198
36,36,825297860381,7.203,2.000000,38.061306000,127.269410000,797.000000,3091.749983,11633.162454,8541.412471,276.264657,28.003162,28.397824,47.573313,67.447280,118.821943,65.560090,118.821943,38.077267000,127.268460000,38.077267000,127.268460000,38.077620000,127.268200000,38.077858308,127.268084362,38.077610000,127.268684000,38.078033380,127.268757909,38.076916000,127.268720000,38.076315970,127.268826788,38.076965000,127.268260000,38.075897726,127.268239500
37,37,825297860584,7.406,2.000000,38.061375000,127.269430000,797.000000,3154.299928,8630.317154,5476.017226,173.604836,18.442636,19.815078,22.350145,27.987775,85.650924,38.950980,85.650924,38.077210000,127.269135000,38.077210000,127.269135000,38.077583000,127.268890000,38.077742014,127.268788378,38.077522000,127.269370000,38.077709387,127.269461576,38.076847000,127.269370000,38.076606108,127.269461450,38.076880000,127.268910000,38.076112020,127.268850334
38,38,825297860772,7.594,2.000000,38.061447000,127.269460000,797.000000,3117.317116,6044.190807,2926.873691,93.890791,7.263263,8.599657,15.272241,8.609479,42.576586,18.764491,42.576586,38.077040000,127.269790000,38.077040000,127.269790000,38.077430000,127.269560000,38.077458608,127.269468840,38.077362000,127.270030000,38.077474516,127.270129722,38.076660000,127.270004000,38.076634284,127.270096659,38.076748000,127.269554000,38.076371820,127.269466230
39,39,825297860975,7.797,2.000000,38.061516000,127.269485000,797.000000,3185.016761,5307.700402,2122.683641,66.645917,9.999194,9.502120,8.405665,14.581437,24.166621,14.163961,24.166621,38.077007000,127.270310000,38.077007000,127.270310000,38.077408000,127.270096000,38.077366018,127.270001586,38.077350000,127.270560000,38.077350092,127.270655924,38.076626000,127.270515000,38.076511566,127.270595969,38.076706000,127.270070000,38.076503251,127.269971419
40,40,825297861179,8.001,2.000000,38.061590000,127.269510000,797.000000,3154.506584,5169.721319,2015.214735,63.883675,0.825530,10.017459,12.228007,9.454908,9.871289,10.392916,12.228007,38.076942000,127.271030000,38.076942000,127.271030000,38.077366000,127.270836000,38.077424745,127.270749402,38.077248000,127.271286000,38.077317401,127.271394164,38.076538000,127.271210000,38.076487544,127.271296795,38.076650000,127.270775000,38.076599135,127.270682726
41,41,825297861381,8.203,2.000000,38.061590000,127.269510000,797.000000,3154.506584,5169.721319,2015.214735,63.883675,0.825530,10.017459,12.228007,9.454908,9.871289,10.392916,12.228007,38.076942000,127.271030000,38.076942000,127.271030000,38.077366000,127.270836000,38.077424745,127.270749402,38.077248000,127.271286000,38.077317401,127.271394164,38.076538000,127.271210000,38.076487544,127.271296795,38.076650000,127.270775000,38.076599135,127.270682726
42,42,825297861584,8.406,2.000000,38.061730000,127.269560000,797.000000,3488.751420,5315.113828,1826.362408,52.350030,2.617956,9.195019,9.525713,10.228094,9.997126,9.736488,10.228094,38.077625000,127.270996000,38.077625000,127.270996000,38.078056000,127.270800000,38.078040738,127.270696874,38.077980000,127.271270000,38.078016490,127.271368327,38.077200000,127.271194000,38.077131743,127.271272135,38.077316000,127.270740000,38.077271124,127.270641179
