sample_index,log_frame_index,timestamp,time_s,fov_deg,uav_lat,uav_lon,uav_alt,actual_area_m2,predicted_area_m2,area_error_m2,area_error_pct,centroid_error_m,corner_error_c1_m,corner_error_c2_m,corner_error_c3_m,corner_error_c4_m,mean_corner_error_m,max_corner_error_m,actual_center_lat,actual_center_lon,predicted_center_lat,predicted_center_lon,actual_c1_lat,actual_c1_lon,predicted_c1_lat,predicted_c1_lon,actual_c2_lat,actual_c2_lon,predicted_c2_lat,predicted_c2_lon,actual_c3_lat,actual_c3_lon,predicted_c3_lat,predicted_c3_lon,actual_c4_lat,actual_c4_lon,predicted_c4_lat,predicted_c4_lon
34,34,825297859978,6.800,2.000000,38.061165000,127.269356000,797.000000,2870.997716,14128.742995,11257.745279,392.119618,49.511244,44.162855,39.896505,141.717387,138.636298,91.103261,141.717387,38.077198000,127.267430000,38.077198000,127.267430000,38.077503000,127.267150000,38.077882191,127.267001839,38.077520000,127.267630000,38.077874899,127.267693453,38.076890000,127.267700000,38.075628635,127.267918789,38.076890000,127.267235000,38.075646197,127.267314860
35,35,825297860179,7.001,2.000000,38.061234000,127.269390000,797.000000,2977.101415,13396.195779,10419.094364,349.974452,52.143975,32.011630,32.340987,117.064099,153.610059,83.756694,153.610059,38.077290000,127.267800000,38.077290000,127.267800000,38.077606000,127.267525000,38.077875785,127.267398536,38.077637000,127.268005000,38.077921295,127.268081013,38.076977000,127.268060000,38.075934847,127.268238710,38.076984000,127.267590000,38.075605477,127.267668372
36,36,825297860381,7.203,2.000000,38.061306000,127.269410000,797.000000,3091.749983,11832.058070,8740.308087,282.697765,25.785819,30.708298,52.682559,62.776238,122.227012,67.098527,122.227012,38.077267000,127.268460000,38.077267000,127.268460000,38.077620000,127.268200000,38.077879905,127.268082557,38.077610000,127.268684000,38.078079833,127.268756174,38.076916000,127.268720000,38.076358187,127.268825219,38.076965000,127.268260000,38.075867109,127.268241887
37,37,825297860584,7.406,2.000000,38.061375000,127.269430000,797.000000,3154.299928,8322.156536,5167.856607,163.835295,7.432169,23.746057,33.093774,8.838781,80.280805,36.489854,80.280805,38.077210000,127.269135000,38.077210000,127.269135000,38.077583000,127.268890000,38.077780259,127.268786860,38.077522000,127.269370000,38.077810372,127.269461791,38.076847000,127.269370000,38.076814272,127.269461899,38.076880000,127.268910000,38.076160457,127.268848410
38,38,825297860772,7.594,2.000000,38.061447000,127.269460000,797.000000,3117.317116,6014.152958,2896.835841,92.927211,8.567627,8.433640,13.180963,9.024251,43.534676,18.543382,43.534676,38.077040000,127.269790000,38.077040000,127.269790000,38.077430000,127.269560000,38.077453653,127.269468568,38.077362000,127.270030000,38.077451136,127.270129014,38.076660000,127.270004000,38.076624389,127.270096515,38.076748000,127.269554000,38.076363111,127.269465961
39,39,825297860975,7.797,2.000000,38.061516000,127.269485000,797.000000,3185.016761,5099.420343,1914.403582,60.106547,1.267924,9.018468,9.788137,8.718470,12.533402,10.014619,12.533402,38.077007000,127.270310000,38.077007000,127.270310000,38.077408000,127.270096000,38.077444572,127.270004166,38.077350000,127.270560000,38.077390846,127.270658917,38.076626000,127.270515000,38.076587394,127.270601566,38.076706000,127.270070000,38.076621637,127.269975282
40,40,825297861179,8.001,2.000000,38.061590000,127.269510000,797.000000,3154.506584,4826.187670,1671.681087,52.993425,1.790568,8.006353,9.540391,8.172314,11.956373,9.418858,11.956373,38.076942000,127.271030000,38.076942000,127.271030000,38.077366000,127.270836000,38.077367336,127.270744649,38.077248000,127.271286000,38.077274973,127.271389340,38.076538000,127.271210000,38.076523110,127.271301322,38.076650000,127.270775000,38.076572606,127.270680393
41,41,825297861381,8.203,2.000000,38.061590000,127.269510000,797.000000,3154.506584,4826.187670,1671.681087,52.993425,1.790568,8.006353,9.540391,8.172314,11.956373,9.418858,11.956373,38.076942000,127.271030000,38.076942000,127.271030000,38.077366000,127.270836000,38.077367336,127.270744649,38.077248000,127.271286000,38.077274973,127.271389340,38.076538000,127.271210000,38.076523110,127.271301322,38.076650000,127.270775000,38.076572606,127.270680393
42,42,825297861584,8.406,2.000000,38.061730000,127.269560000,797.000000,3488.751420,5403.454209,1914.702789,54.882179,4.962636,10.148299,16.253460,8.156772,8.552277,10.777702,16.253460,38.077625000,127.270996000,38.077625000,127.270996000,38.078056000,127.270800000,38.078103643,127.270701263,38.077980000,127.271270000,38.078098994,127.271377484,38.077200000,127.271194000,38.077223195,127.271282297,38.077316000,127.270740000,38.077304488,127.270643504
43,43,825297861771,8.593,2.000000,38.061730000,127.269560000,797.000000,3488.751420,5403.454209,1914.702789,54.882179,4.962636,10.148299,16.253460,8.156772,8.552277,10.777702,16.253460,38.077625000,127.270996000,38.077625000,127.270996000,38.078056000,127.270800000,38.078103643,127.270701263,38.077980000,127.271270000,38.078098994,127.271377484,38.077200000,127.271194000,38.077223195,127.271282297,38.077316000,127.270740000,38.077304488,127.270643504
44,44,825297861974,8.796,2.000000,38.061800000,127.269585000,797.000000,3340.408805,4936.154692,1595.745886,47.770976,1.094377,8.456209,10.447071,8.145109,8.486606,8.883749,10.447071,38.077686000,127.270340000,38.077686000,127.270340000,38.078080000,127.270120000,38.078083267,127.270023588,38.078022000,127.270600000,38.078079404,127.270694316,38.077297000,127.270550000,38.077291379,127.270642676,38.077347000,127.270096000,38.077331138,127.270001271
45,45,825297862176,8.998,2.000000,38.061870000,127.269615000,797.000000,3216.123132,5111.294024,1895.170891,58.927187,3.373141,8.509301,8.687831,9.143728,16.075018,10.603969,16.075018,38.077710000,127.269684000,38.077710000,127.269684000,38.078090000,127.269440000,38.078120937,127.269351201,38.078053000,127.269920000,38.078058838,127.270018867,38.077340000,127.269905000,38.077310226,127.270002251,38.077393000,127.269450000,38.077265856,127.269363028
46,46,825297862390,9.212,2.000000,38.062010000,127.269660000,797.000000,2929.387081,10787.861216,7858.474135,268.263426,66.468455,23.757441,15.823181,103.343222,153.960404,74.221062,153.960404,38.077873000,127.268340000,38.077873000,127.268340000,38.078194000,127.268074000,38.077988683,127.268000017,38.078210000,127.268555000,38.078336119,127.268638288,38.077568000,127.268600000,38.076646788,127.268745943,38.077568000,127.268135000,38.076185521,127.268185461
47,47,825297862581,9.403,2.000000,38.062084000,127.269690000,797.000000,2701.264279,10506.313141,7805.048862,288.940587,76.261990,13.380582,19.210618,140.485809,137.297475,77.593621,140.485809,38.077873000,127.267660000,38.077873000,127.267660000,38.078150000,127.267390000,38.078049982,127.267305310,38.078200000,127.267850000,38.078054370,127.267967623,38.077602000,127.267930000,38.076352270,127.268153069,38.077560000,127.267470000,38.076328696,127.267560515
48,48,825297862785,9.607,2.000000,38.062084000,127.269690000,797.000000,2701.264279,10506.313141,7805.048862,288.940587,76.261990,13.380582,19.210618,140.485809,137.297475,77.593621,140.485809,38.077873000,127.267660000,38.077873000,127.267660000,38.078150000,127.267390000,38.078049982,127.267305310,38.078200000,127.267850000,38.078054370,127.267967623,38.077602000,127.267930000,38.076352270,127.268153069,38.077560000,127.267470000,38.076328696,127.267560515
