sample_index,log_frame_index,timestamp,time_s,fov_deg,uav_lat,uav_lon,uav_alt,actual_area_m2,predicted_area_m2,area_error_m2,area_error_pct,centroid_error_m,corner_error_c1_m,corner_error_c2_m,corner_error_c3_m,corner_error_c4_m,mean_corner_error_m,max_corner_error_m,actual_center_lat,actual_center_lon,predicted_center_lat,predicted_center_lon,actual_c1_lat,actual_c1_lon,predicted_c1_lat,predicted_c1_lon,actual_c2_lat,actual_c2_lon,predicted_c2_lat,predicted_c2_lon,actual_c3_lat,actual_c3_lon,predicted_c3_lat,predicted_c3_lon,actual_c4_lat,actual_c4_lon,predicted_c4_lat,predicted_c4_lon
33,33,826613797316,2.600,10.000000,38.011534502,127.245674974,980.717256,10784.147450,10834.885860,50.738410,0.470491,0.200550,0.226708,0.059197,0.176391,0.577780,0.260019,0.577780,38.011512863,127.245663419,38.011512863,127.245663419,38.010950009,127.246218884,38.010948142,127.246219916,38.011431052,127.244760714,38.011431270,127.244760099,38.012079131,127.245104228,38.012078493,127.245106069,38.011593793,127.246556507,38.011594189,127.246563076
34,34,826613797383,2.667,10.000000,38.011556142,127.245686530,980.197227,10770.882146,10821.123185,50.241039,0.466452,0.197068,0.236559,0.053921,0.167308,0.556731,0.253629,0.556731,38.011534501,127.245674973,38.011534501,127.245674973,38.010972147,127.246229952,38.010970209,127.246231057,38.011452724,127.244772705,38.011452956,127.244772165,38.012100502,127.245116039,38.012099939,127.245117808,38.011615379,127.246567505,38.011615763,127.246573834
35,35,826613797449,2.733,10.000000,38.011577787,127.245698089,979.680082,10757.733203,10807.462087,49.728884,0.462262,0.193662,0.245093,0.048998,0.158598,0.537115,0.247451,0.537115,38.011556144,127.245686531,38.011556144,127.245686531,38.010994288,127.246241024,38.010992288,127.246242192,38.011474402,127.244784696,38.011474644,127.244784229,38.012121886,127.245127843,38.012121396,127.245129540,38.011636970,127.246578502,38.011637341,127.246584607
36,36,826613797516,2.800,10.000000,38.011599437,127.245709650,979.165809,10744.700138,10794.163039,49.462901,0.460347,0.191100,0.255870,0.044530,0.150272,0.519027,0.242425,0.519027,38.011577792,127.245698091,38.011577792,127.245698091,38.011016432,127.246252100,38.011014353,127.246253345,38.011496084,127.244796686,38.011496337,127.244796293,38.012143286,127.245139639,38.012142865,127.245141267,38.011658565,127.246589498,38.011658926,127.246595398
37,37,826613797583,2.867,10.000000,38.011621092,127.245721214,978.654393,10732.481877,10781.261828,48.779951,0.454508,0.187049,0.269414,0.040650,0.142346,0.491973,0.236096,0.491973,38.011599445,127.245709654,38.011599445,127.245709654,38.011038579,127.246263180,38.011036402,127.246264523,38.011517771,127.244808676,38.011518034,127.244808355,38.012164700,127.245151428,38.012164348,127.245152988,38.011680173,127.246600613,38.011680516,127.246606205
38,38,826613797716,3.000,10.000000,38.011664415,127.245744349,977.640082,10709.411736,10755.377878,45.966143,0.429213,0.177834,0.293864,0.034466,0.119055,0.427071,0.218614,0.427071,38.011642764,127.245732787,38.011642764,127.245732787,38.011082882,127.246285354,38.011080529,127.246286871,38.011561158,127.244832655,38.011561466,127.244832687,38.012207571,127.245174983,38.012207432,127.245176329,38.011723415,127.246623016,38.011723714,127.246627871
39,39,826613797783,3.067,10.000000,38.011686084,127.245755920,977.137158,10697.502026,10742.732044,45.230019,0.422809,0.170867,0.304755,0.041244,0.101755,0.395331,0.210771,0.395331,38.011664431,127.245744358,38.011664431,127.245744358,38.011105039,127.246296447,38.011102606,127.246298042,38.011582858,127.244844644,38.011583189,127.244844855,38.012228960,127.245186820,38.012229003,127.245187979,38.011745044,127.246634235,38.011745321,127.246638729
40,40,826613797849,3.133,10.000000,38.011707757,127.245767494,976.637037,10684.000250,10730.287055,46.286805,0.433235,0.160220,0.320160,0.051498,0.082334,0.363870,0.204465,0.363870,38.011686074,127.245755915,38.011686074,127.245755915,38.011127211,127.246307498,38.011124665,127.246309196,38.011604538,127.244856620,38.011604888,127.244857004,38.012250190,127.245198794,38.012250564,127.245199604,38.011766654,127.246645452,38.011766906,127.246649588
41,41,826613798049,3.333,10.000000,38.011772804,127.245802230,975.153340,10644.058986,10694.278421,50.219434,0.471807,0.128311,0.366829,0.090942,0.159002,0.273479,0.222563,0.366829,38.011751104,127.245790642,38.011751104,127.245790642,38.011193860,127.246340671,38.011190972,127.246342685,38.011669677,127.244892578,38.011670081,127.244893479,38.012314015,127.245234732,38.012315425,127.245234448,38.011831588,127.246679220,38.011831768,127.246682330
42,42,826613798183,3.467,10.000000,38.011816190,127.245825399,974.177955,10618.529196,10669.771978,51.242782,0.482579,0.116754,0.393311,0.128088,0.227757,0.226869,0.244006,0.393311,38.011794480,127.245813805,38.011794480,127.245813805,38.011238307,127.246362806,38.011235225,127.246365001,38.011713111,127.244916441,38.011713564,127.244917784,38.012356614,127.245258674,38.012358551,127.245257837,38.011874901,127.246701742,38.011875044,127.246704322
